UrlOPC;Description;Mode;Outgoing Address;Format;Scale;Offset
GAR_BGR_DNP.ANA.BAY_MM_MED1_VCA.Value;GAR_BGR_DNP.ANA.BAY_MM_MED1_VCA;Write;GAR_BGR_DNP.ANA.BAY_MM_MED1_VCA.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7LT_01WES_M.Value;GAR_CF_DNP_1.EAF.SA7LT_01WES_M;Write;GAR_CF_DNP_1.EAF.SA7LT_01WES_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7LT_02WES_M.Value;GAR_CF_DNP_1.EAF.SA7LT_02WES_M;Write;GAR_CF_DNP_1.EAF.SA7LT_02WES_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA3.Value;GAR_CF_DNP_1.EAF.EA3;Write;GAR_CF_DNP_1.EAF.EA3.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA4.Value;GAR_CF_DNP_1.EAF.EA4;Write;GAR_CF_DNP_1.EAF.EA4.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7LT_01WDR_M.Value;GAR_CF_DNP_1.EAF.SA7LT_01WDR_M;Write;GAR_CF_DNP_1.EAF.SA7LT_01WDR_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7LT_02WDR_M.Value;GAR_CF_DNP_1.EAF.SA7LT_02WDR_M;Write;GAR_CF_DNP_1.EAF.SA7LT_02WDR_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7LT_03WDR_M.Value;GAR_CF_DNP_1.EAF.SA7LT_03WDR_M;Write;GAR_CF_DNP_1.EAF.SA7LT_03WDR_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA8.Value;GAR_CF_DNP_1.EAF.EA8;Write;GAR_CF_DNP_1.EAF.EA8.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA1PT_01WRE_M.Value;GAR_CF_DNP_1.EAF.SA1PT_01WRE_M;Write;GAR_CF_DNP_1.EAF.SA1PT_01WRE_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA2PT_01WRE_M.Value;GAR_CF_DNP_1.EAF.SA2PT_01WRE_M;Write;GAR_CF_DNP_1.EAF.SA2PT_01WRE_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA3PT_01WRE_M.Value;GAR_CF_DNP_1.EAF.SA3PT_01WRE_M;Write;GAR_CF_DNP_1.EAF.SA3PT_01WRE_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7PT_01ACS_M.Value;GAR_CF_DNP_1.EAF.SA7PT_01ACS_M;Write;GAR_CF_DNP_1.EAF.SA7PT_01ACS_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7PT_01ACR_M.Value;GAR_CF_DNP_1.EAF.SA7PT_01ACR_M;Write;GAR_CF_DNP_1.EAF.SA7PT_01ACR_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA1ET_01ECA_M.Value;GAR_CF_DNP_1.EAF.SA1ET_01ECA_M;Write;GAR_CF_DNP_1.EAF.SA1ET_01ECA_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA2ET_01ECA_M.Value;GAR_CF_DNP_1.EAF.SA2ET_01ECA_M;Write;GAR_CF_DNP_1.EAF.SA2ET_01ECA_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA16.Value;GAR_CF_DNP_1.EAF.EA16;Write;GAR_CF_DNP_1.EAF.EA16.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_01ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_01ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_01ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_02ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_02ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_02ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_03ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_03ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_03ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7IT_01ECC_M.Value;GAR_CF_DNP_1.EAF.SA7IT_01ECC_M;Write;GAR_CF_DNP_1.EAF.SA7IT_01ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_04ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_04ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_04ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_11ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_11ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_11ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_12ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_12ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_12ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_13ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_13ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_13ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7IT_11ECC_M.Value;GAR_CF_DNP_1.EAF.SA7IT_11ECC_M;Write;GAR_CF_DNP_1.EAF.SA7IT_11ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_14ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_14ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_14ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA27.Value;GAR_CF_DNP_1.EAF.EA27;Write;GAR_CF_DNP_1.EAF.EA27.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA28.Value;GAR_CF_DNP_1.EAF.EA28;Write;GAR_CF_DNP_1.EAF.EA28.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_23ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_23ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_23ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7IT_03ECC_M.Value;GAR_CF_DNP_1.EAF.SA7IT_03ECC_M;Write;GAR_CF_DNP_1.EAF.SA7IT_03ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_31ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_31ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_31ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA32.Value;GAR_CF_DNP_1.EAF.EA32;Write;GAR_CF_DNP_1.EAF.EA32.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_24ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_24ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_24ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7IT_04ECC_M.Value;GAR_CF_DNP_1.EAF.SA7IT_04ECC_M;Write;GAR_CF_DNP_1.EAF.SA7IT_04ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA7ET_41ECC_M.Value;GAR_CF_DNP_1.EAF.SA7ET_41ECC_M;Write;GAR_CF_DNP_1.EAF.SA7ET_41ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA36.Value;GAR_CF_DNP_1.EAF.EA36;Write;GAR_CF_DNP_1.EAF.EA36.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA1IT_01ECC_M.Value;GAR_CF_DNP_1.EAF.SA1IT_01ECC_M;Write;GAR_CF_DNP_1.EAF.SA1IT_01ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA1ET_01ECC_M.Value;GAR_CF_DNP_1.EAF.SA1ET_01ECC_M;Write;GAR_CF_DNP_1.EAF.SA1ET_01ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA2IT_02ECC_M.Value;GAR_CF_DNP_1.EAF.SA2IT_02ECC_M;Write;GAR_CF_DNP_1.EAF.SA2IT_02ECC_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.SA2ET_02ECC_M.Value;GAR_CF_DNP_1.EAF.SA2ET_02ECC_M;Write;GAR_CF_DNP_1.EAF.SA2ET_02ECC_M.Value;Float;1;0
